endTime,artistName,trackName,msPlayed
2023-03-07 14:55,Troye Sivan,Strawberries & Cigarettes,40209
2023-03-07 15:21,SYML,Here Comes the Sun,981
2023-03-07 15:21,Phoebe Bridgers,Chinese Satellite,810
2023-03-07 15:21,5 Seconds of Summer,Ghost Of You,159509
2023-03-07 15:21,Taylor Swift,Daylight,8682
2023-03-07 15:21,Lana Del Rey,Happiness is a butterfly,682
2023-03-07 15:24,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",214945
2023-03-07 15:28,KAROL G,TQG,197933
2023-03-07 15:30,Sebastian Yatra,Una Noche Sin Pensar,161173
2023-03-07 15:33,Miranda!,Uno los Dos,122880
2023-03-07 15:43,Maluma,Mojando Asientos (feat. Feid),110144
2023-03-07 15:47,Arcángel,La Jumpa,251882
2023-03-07 15:53,Arcángel,La Jumpa,255693
2023-03-07 15:56,Gorillaz,Tormenta (feat. Bad Bunny),193463
2023-03-07 15:59,Manuel Turizo,La Bachata,162637
2023-03-07 16:02,Quevedo,VISTA AL MAR,180672
2023-03-07 16:05,Ozuna,Hey Mor,196600
2023-03-07 16:06,Jay Wheeler,La Curiosidad (feat. Myke Towers) - Mixed,93652
2023-03-07 16:09,Bad Bunny,Agosto,139041
2023-03-07 16:13,Mora,MEMORIAS,228750
2023-03-07 16:15,Danny Ocean,Volare,147598
2023-03-07 16:18,Quevedo,PUNTO G,151324
2023-03-07 16:21,KAROL G,TQG,197933
2023-03-07 16:24,TINI,La Triple T,167674
2023-03-07 16:27,Myke Towers,Ande Con Quien Ande,208734
2023-03-07 16:31,Maluma,Mojando Asientos (feat. Feid),252162
2023-03-07 16:47,Danny Ocean,Fuera del mercado,128228
2023-03-07 16:51,Fleetwood Mac,Dreams - 2004 Remaster,257800
2023-03-07 16:55,Fleetwood Mac,Everywhere - 2017 Remaster,226653
2023-03-07 16:59,Fleetwood Mac,Go Your Own Way - 2004 Remaster,223613
2023-03-07 17:02,Fleetwood Mac,Landslide,199493
2023-03-07 17:07,Fleetwood Mac,The Chain - 2004 Remaster,270213
2023-03-07 17:22,Fleetwood Mac,Gypsy,247410
2023-03-07 17:25,Fleetwood Mac,Don't Stop - 2004 Remaster,193346
2023-03-07 17:29,Fleetwood Mac,Little Lies - 2017 Remaster,221053
2023-03-07 17:31,Fleetwood Mac,Never Going Back Again - 2004 Remaster,134400
2023-03-07 17:35,Fleetwood Mac,Rhiannon,252773
2023-03-07 17:39,Fleetwood Mac,You Make Loving Fun - 2004 Remaster,213693
2023-03-07 17:42,Fleetwood Mac,Seven Wonders - 2017 Remaster,222400
2023-03-07 17:49,Fleetwood Mac,Sara,382373
2023-03-07 17:53,Fleetwood Mac,Say You Love Me,249946
2023-03-07 18:00,Taylor Swift,Cornelia Street - Live From Paris,170
2023-03-07 18:01,Taylor Swift,Cornelia Street - Live From Paris,58303
2023-03-07 18:04,Taylor Swift,Death By A Thousand Cuts - Live From Paris,682
2023-03-07 18:06,Taylor Swift,Cornelia Street - Live From Paris,147093
2023-03-07 19:20,Taylor Swift,Cornelia Street - Live From Paris,296013
2023-03-07 19:24,Fleetwood Mac,Second Hand News - 2004 Remaster,103910
2023-03-07 19:27,Taylor Swift,The Man - Live From Paris,219385
2023-03-07 19:31,Taylor Swift,Daylight - Live From Paris,262320
2023-03-07 19:35,Taylor Swift,You Need To Calm Down - Live From Paris,203960
2023-03-07 19:53,Taylor Swift,Lover - Live From Paris,276560
2023-03-07 20:38,Mallrat,Wish on an Eyelash,27580
2023-03-07 21:25,Phoebe Bridgers,Motion Sickness,178773
2023-03-07 21:34,SZA,Ghost in the Machine (feat. Phoebe Bridgers),218586
2023-03-07 21:40,Phoebe Bridgers,Motion Sickness,229760
2023-03-07 21:45,Phoebe Bridgers,Scott Street,305000
2023-03-07 21:48,Phoebe Bridgers,Kyoto,184524
2023-03-07 22:04,Manchester Orchestra,The Gold - Phoebe Bridgers Version,126112
2023-03-07 22:04,Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),12480
